fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness,putout_time_num,region,cause_category,Vegetation_group,mid50_hi
NA,40,C,Arson,31.43518075,-88.99948898,MS,4/3/1999,4/3/1999,Apr,4/3/1999 16:43,4/3/1999 19:12,0 days 00:00:00.000000000,3/4/1999,1999,Mar,722348,31896.50599,53808,1973,2020,12,1,722348-99999-1999.gz,13.46861925,15.06722689,15.60479042,0,2.038268156,1.7379213480000002,1.775903614,0,57.99720670000001,56.74719101,59.61445783,0,0,0,0,0,0.1994853643481216,0,South,Arson,Shrubland,1
STO3573155,2,B,Debris Burning,35.7189,-92.335,AR,1/19/2014,1/19/2014,Jan,1/19/2014 11:58,1/19/2014 13:02,0 days 00:00:00.000000000,12/20/2013,2013,Dec,720401,16806.87914,99999,2007,2020,15,0.1,720401-00133-2013.gz,3.490697674,0,0,0,1.34744186,0,0,0,76.09139785,0,0,0,0,0,0,0,0.22726973434487863,0,South,Debris Burning,Forest,0
NA,1.5,B,Missing/Undefined,33.9375,-81.30416667,SC,4/1/1995,4/1/1995,Apr,NA,NA,0 days 00:00:00.000000000,3/2/1995,1995,Mar,723100,17218.33529,13883,1973,2020,16,0.1,723100-13883-1995.gz,14.40319444,16.88055556,15.44464286,0,2.856944444,3.209444444,2.479166667,0,60.91944444,54.71666667,55.31547619,0,1,0,0,0,0.128446274916022,0,South,Other/Unknown,Forest,0
FY2001-EARLY-021,30.18,C,Debris Burning,31.259,-84.8956,GA,10/19/2000,10/19/2000,Oct,10/19/2000 20:55,10/19/2000 20:55,0 days 00:00:00.000000000,9/19/2000,2000,Sep,722268,53177.96665,13839,1935,2020,12,1,722268-99999-2000.gz,20.07947977,17.72271386,18.18867925,0,3.65984,3.366442953,2.211428571,0,67.55178268,61.733788399999995,60.32857143,0,0,0,0,0,0.16241593981724778,0,South,Debris Burning,Shrubland,1
LAUREL BRANCH,55,C,Debris Burning,37.46458863,-81.49122444,WV,4/23/2014,4/23/2014,Apr,4/23/2014 15:40,4/23/2014 20:30,0 days 00:00:00.000000000,3/24/2014,2014,Mar,724125,31447.27529,3859,2006,2020,0,1,724125-03859-2014.gz,8.9048,12.492723,11.73579545,0,4.18489426,3.882897862,2.9401162789999997,0,56.23867069,49.52731591,40.64534884,0,1,1,1,0,0.12799188278263407,0,South,Debris Burning,Tundra/Barren,1
AGERT,3.2,B,Equipment Use,43.85158,-108.19147,WY,7/30/2010,7/30/2010,Jul,7/30/2010 17:00,7/30/2010 19:50,0 days 00:00:00.000000000,6/30/2010,2010,Jun,726665,23253.00809,99999,2006,2020,9,0.1,726665-24062-2010.gz,22.72938005,23.7672043,24.40402299,0,3.148513514,2.737837838,2.821511628,0,37.25675676,37.38648649,37.62209302,0,1,1,1,0,0.37465171133125263,0,West,Infrastructure,Tundra/Barren,0
LED BETTER BARN,15.3,C,Equipment Use,36.5865,-96.32322,OK,12/5/2015,12/6/2015,Dec,12/5/2015 15:10,12/6/2015 13:00,1 days 00:00:00.000000000,11/5/2015,2015,Nov,723565,33339.18055,3959,2006,2020,0,1,723565-03959-2015.gz,8.523263157999999,5.933657587999999,2.911842105,5.258333333,3.278095238,3.311328125,2.128193833,3.558333333,76.61521739,80.17729084,85.36936937,71.5,1,1,1,0,0.2639427624719013,1,South,Infrastructure,Tundra/Barren,1
NA,1.55,B,Miscellaneous,42.40379312,-73.41862982,NY,4/19/2004,4/19/2004,Apr,4/19/2004 15:10,4/19/2004 15:10,0 days 00:00:00.000000000,3/20/2004,2004,Mar,744104,10288.82582,99999,1973,2020,9,0.1,744104-99999-2004.gz,4.042663892,5.1083521439999995,8.138095238,0,3.307596254,3.513318284,2.75952381,0,67.85661765,62.41836735,62.59509202,0,1,1,1,0,0.05525340087121644,0,Northeast,Other/Unknown,Tundra/Barren,0
DEVIL'S,57,C,Arson,36.81666667,-82.65166667,VA,4/6/1995,4/8/1995,Apr,4/6/1995 17:00,4/8/1995 18:00,2 days 00:00:00.000000000,3/7/1995,1995,Mar,724117,21888.57878,63802,1994,2005,0,1,724117-99999-1995.gz,8.864242424,8.231321839,6.332934132,13.00208333,3.135151515,3.3071839080000003,3.0892215569999997,1.95,52.83489097,53.92330383,53.1257485,37.85416667,0,0,0,0,0.13866986812955595,2,South,Arson,Tundra/Barren,1
SPRING GULCH,1.5,B,Lightning,39.205,-105.18833329999998,CO,7/31/1996,8/1/1996,Jul,7/31/1996 11:45,8/1/1996 14:00,1 days 00:00:00.000000000,7/1/1996,1996,Jul,999999,15618.84582,53007,1971,2019,0,0.1,999999-54767-1996.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34720274858188804,1,West,Natural,Tundra/Barren,0
